"","X","Y","Cdh9","Ctgf","Slc17a6","Lxn","Slc30a3","Gfra1","Spon1","Gnb4","Nnat","Synpr","Pcp4","Slc17a7","region","anum","section","id"
"266",783.905,100.627,3.47215987017962,0,0.926329402752093,0.809750532337714,24.247354786097,1.73607993508981,22.6268034613278,1.04185801307265,0.0577643051602779,0.751986227177436,17.9394926625947,83.330786624217,"ant","1234560","1",266
"267",241.975,98.148,1.04252115159801,149.407259902118,2.0833581010125,1.93514830886287,0,13.3927757633399,10.4167905050625,0.892627157264856,0,1.19073094374765,49.2561770591848,62.9470566090075,"ant","1234560","1",267
"268",8.799,97.893,10.476340910129,0,0.593989312303031,0,0,0.790044608193901,8.89625169374115,0,0,0,0,0,"ant","1234560","1",268
"269",443.181,99.075,4.74102778108978,0,0,0,0.214856325265292,3.66471920829856,5.38762370335042,0,1.29319184452128,0,35.9965422677954,18.7512817455586,"ant","1234560","1",269
"270",545.181,98.931,2.70688129997014,0,0.324710814115314,0.541663614696784,0,0.541663614696784,0,0,0,0,0,0.216952800581471,"ant","1234560","1",270
"271",434.177,100.142,0.743767287979318,0,0,0,0,3.34541608663425,9.53989116482563,0,0.61929383689187,0,0,0,"ant","1234560","1",271
"272",248.616,100.405,8.56527048641761,125.021470336424,4.20732314349618,29.4529544112084,0,30.0537588021742,4.95875173388729,29.4529544112084,0.301248398850491,34.711262137211,46.5818029773085,108.491733754555,"ant","1234560","1",272
"273",257.547,105.928,13.5503731343284,4.82942430703625,4.66231343283582,34.747867803838,0.0335820895522388,23.0085287846482,0.805170575692964,49.169776119403,0.0671641791044776,56.5490405117271,5.29957356076759,102.633262260128,"ant","1234560","1",273
"274",343.393,102.713,3.0723876344469,0.0435928484934824,0.995370040601183,1.7309993589287,0.0862775126433507,1.03805470475105,0.432295747560368,0.519481444547332,0.0862775126433507,1.42766578816155,9.04369969371038,8.95742218106703,"ant","1234560","1",274
"275",792.953,103.23,3.843615194701,0.154179472968207,0.25597745832542,0.512943246605765,6.55954591083326,1.58824623756351,4.20237896833856,0,0.25597745832542,0.461550088949696,2.56273957311898,14.3999674432485,"ant","1234560","1",275
"276",661.782,100.108,6.71329016952503,0,0.231058172292789,1.15739139030297,0,0,0.231058172292789,0,0,0,0,0,"ant","1234560","1",276
"277",597.726,101.619,6.09956645238451,0,1.1436687098221,0.571834354911048,0.762445806548064,1.1436687098221,0,0,0,0.190611451637016,1.33428016145911,13.9146359695022,"ant","1234560","1",277
"278",408.973,107.645,2.6008282674572,0,0.307480471475322,0.543797340382119,0.0469948318848745,1.65488943708879,0,0.567294756324557,0.0469948318848745,0.165824621079486,12.6268399727246,7.04653936376633,"ant","1234560","1",278
"279",463.6,104.974,4.27994350398807,0,0.40531358992625,0.925081017422349,0,0.288759681942277,0,0,0,0.231007745553822,19.8404152374521,5.84239589209756,"ant","1234560","1",279
"280",615.591,105.028,10.1461817855702,0.142930810277566,22.0065804224026,33.6773575176001,0.905228465091251,15.9101049280301,2.71473252320524,42.251300390117,0.0952872068517107,29.0092372539348,1.85810053360836,34.6778731895431,"ant","1234560","1",280
"281",33.15,104.663,6.88972325480931,0,0.0965594850160799,0.0965594850160799,0,0.194478962778865,0.969674828400915,0,0.194478962778865,0.873115343384835,37.0666023114543,0,"ant","1234560","1",281
"282",240.333,104.783,1.60962290219292,101.362829772327,3.07230927389519,1.90182622987317,0,13.6033172034914,9.36052488557416,1.02354651353139,0.14693653049064,2.77843621291391,24.8656683189387,37.0046294174268,"ant","1234560","1",282
"283",111.987,110.58,1.75415449064797,0.0274651300554688,0.438719314307094,0.0549302601109376,0,0.191533143807875,1.15136716258847,0,0.137325650277344,0.164790780332813,14.5529050964964,0,"ant","1234560","1",283
"284",724.469,109.382,3.45121080309031,0,0.192040511588652,0.382977342076219,0.382977342076219,0,0.0640135038628839,0.128027007725768,0.639031357527754,0.382977342076219,6.39031357527754,0,"ant","1234560","1",284
"285",12.785,106.406,6.03700192335608,0,0.702138372768181,0,0,0.139964980403542,3.1590443097692,0,0,0,0,0,"ant","1234560","1",285
"286",180.978,107.102,0.315734242437703,0.52527983831564,0.52527983831564,0.104772797938969,0,0,0,0,0,0.104772797938969,0,0,"ant","1234560","1",286
"287",443.099,105.307,4.19943687458643,0,0.154960770279942,0.46660409717627,0.46660409717627,0.933208194352541,1.86641638870508,0,0.46660409717627,0,55.990769874816,21.462066683772,"ant","1234560","1",287
"288",638.953,107.2,0.262992761952098,0,0,0,0,0.525985523904197,0,0,0,0,0,0,"ant","1234560","1",288
"289",49.314,106.511,6.02212249456694,0,0.154413397296588,0,0,0.308826794593176,0.617653589186352,0,0.308826794593176,0.926480383779529,19.6122171610811,0,"ant","1234560","1",289
"290",449.512,109.706,4.66367602474674,0,0.230460180917404,0.863178132163368,0.115230090458702,0.518535407064159,0.115230090458702,0,0,0.115230090458702,49.4525646397673,12.780064578147,"ant","1234560","1",290
"291",801.901,110.845,6.65727963953816,0,0.51957195156294,0.623767952689383,1.87271191213743,1.5601239087581,3.74401577020558,0.83215995494227,0.208392002252886,0.51957195156294,1.04055195719516,1.76851591101098,"ant","1234560","1",291
"292",74.104,109.032,3.31754988427152,0,0.389619230594678,0.194809615297339,0,0,0,0,0.194809615297339,0,0,0,"ant","1234560","1",292
"293",92.106,111.551,6.80578231292517,0,0.281020408163265,0.21047619047619,0,0,2.24469387755102,0.0705442176870748,0.560884353741497,0.281020408163265,8.56013605442177,0,"ant","1234560","1",293
"294",310.18,110.662,2.38011623209125,0.0911365260900643,0.640597321067843,0.457003449669018,0.457003449669018,0.457003449669018,6.77316095347609,0.0911365260900643,0,0.183593871398825,7.32130092923517,10.2508779563042,"ant","1234560","1",294
"295",456.932,112.913,5.12644152137552,0,0.293007028647414,1.0987763574278,0.21975527148556,0.21975527148556,0.146503514323707,0,0,0,37.7140216187665,3.51490286381474,"ant","1234560","1",295
"296",593.431,112.132,11.1303075031762,0,0.115329109396136,0.057664554698068,6.34310101678748,0.172993664094204,9.80402274512061,0.403651882886476,0.057664554698068,7.09378867431142,0.115329109396136,0,"ant","1234560","1",296
"297",843.529,109.766,4.73596516561882,0.315825428209628,0.947476284628885,0.315825428209628,1.15708239841823,0.631650856419257,1.26330171283851,0,0.420628485104303,0.315825428209628,0.736453913313932,0.841256970208606,"ant","1234560","1",297
