 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
3278,175.435,0.305,0,255,319.790,1254.707,0.897,1,1.064,0.940,0.973
3279,212.001,0.252,0,255,143.972,1256.102,0.862,1,1.112,0.900,0.963
3280,259.952,0.000,0,0,569.700,1257.347,0.875,1,1.308,0.764,0.977
3281,212.264,0.000,0,0,740.753,1255.655,0.812,1,1.633,0.612,0.968
3282,415.871,8.010,0,255,612.253,1259.333,0.891,1,1.176,0.850,0.982
3283,237.183,2.651,0,255,654.122,1258.392,0.875,1,1.216,0.823,0.975
3284,209.745,0.000,0,0,431.537,1257.942,0.899,1,1.041,0.961,0.978
3285,216.356,0.000,0,0,781.462,1257.391,0.888,1,1.127,0.887,0.974
3286,247.414,0.000,0,0,828.039,1257.921,0.846,1,1.167,0.857,0.966
3287,213.838,0.000,0,0,249.297,1260.565,0.890,1,1.258,0.795,0.979
3288,146.476,0.000,0,0,332.129,1259.827,0.809,1,1.508,0.663,0.949
3289,285.344,12.987,0,255,73.381,1262.030,0.887,1,1.159,0.863,0.978
3290,161.742,0.000,0,0,4.522,1262.054,0.649,1,1.717,0.582,0.746
3291,184.983,0.145,0,255,560.023,1261.407,0.891,1,1.198,0.835,0.972
3292,195.686,8.546,0,255,599.104,1261.926,0.891,1,1.224,0.817,0.976
3293,143.433,1.026,0,255,666.894,1262.453,0.833,1,1.357,0.737,0.955
3294,292.479,0.183,0,255,362.063,1265.347,0.868,1,1.141,0.876,0.973
3295,149.991,0.000,0,0,62.125,1263.075,0.882,1,1.268,0.788,0.972
3296,251.296,0.000,0,0,388.616,1264.472,0.886,1,1.113,0.899,0.975
3297,268.084,0.000,0,0,726.465,1266.143,0.855,1,1.222,0.819,0.970
3298,366.714,0.912,0,255,692.917,1267.601,0.892,1,1.104,0.905,0.979
3299,403.857,0.066,0,255,106.005,1269.506,0.777,1,1.241,0.806,0.953
3300,125.753,0.000,0,0,129.936,1263.131,0.887,1,1.118,0.894,0.967
3301,277.685,0.385,0,255,638.480,1266.870,0.852,1,1.164,0.859,0.970
3302,333.085,0.000,0,0,752.120,1267.658,0.826,1,1.287,0.777,0.969
3303,220.186,0.122,0,255,550.995,1265.505,0.845,1,1.296,0.772,0.965
