 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1349,584.801,6.474,0,255,519.512,482.616,0.833,1,1.125,0.889,0.967
1350,153.296,0.175,0,255,710.653,477.124,0.784,1,1.773,0.564,0.957
1351,233.459,0.688,0,255,748.527,478.331,0.884,1,1.261,0.793,0.977
1352,179.947,2.230,0,255,677.995,478.421,0.866,1,1.171,0.854,0.971
1353,235.924,0.454,0,255,557.764,480.281,0.853,1,1.216,0.822,0.971
1354,261.893,0.153,0,255,495.000,481.474,0.872,1,1.022,0.978,0.970
1355,191.069,0.000,0,0,205.104,480.734,0.876,1,1.293,0.773,0.977
1356,396.407,0.270,0,255,472.690,484.852,0.777,1,1.346,0.743,0.944
1357,278.472,1.153,0,255,833.018,484.082,0.894,1,1.024,0.977,0.978
1358,169.244,0.474,0,255,618.225,482.314,0.869,1,1.103,0.906,0.960
1359,271.546,0.049,0,255,141.913,484.953,0.831,1,1.252,0.799,0.965
1360,160.536,0.250,0,255,330.647,482.093,0.906,1,1.094,0.914,0.975
1361,272.491,0.098,0,255,38.964,485.076,0.799,1,1.183,0.845,0.955
1362,328.888,1.708,0,255,582.735,485.301,0.834,1,1.247,0.802,0.967
1363,156.706,1.366,0,255,292.710,483.509,0.901,1,1.136,0.880,0.975
1364,201.037,2.995,0,255,396.813,483.363,0.851,1,1.196,0.836,0.969
1365,240.541,1.112,0,255,810.232,486.197,0.773,1,1.581,0.632,0.941
1366,251.348,0.266,0,255,52.901,486.952,0.854,1,1.283,0.779,0.969
1367,149.046,0.359,0,255,268.053,485.342,0.859,1,1.212,0.825,0.966
1368,139.551,0.000,0,0,864.411,488.442,0.612,1,2.002,0.499,0.724
1369,155.079,0.259,0,255,4.425,489.035,0.650,1,1.713,0.584,0.754
1370,365.507,0.512,0,255,551.722,489.650,0.858,1,1.242,0.805,0.973
1371,167.513,0.878,0,255,277.401,486.991,0.870,1,1.125,0.889,0.972
1372,182.622,8.131,0,255,403.290,488.388,0.878,1,1.068,0.936,0.973
1373,257.644,0.260,0,255,85.325,489.663,0.852,1,1.215,0.823,0.967
1374,330.829,4.691,0,255,640.404,491.210,0.870,1,1.082,0.924,0.973
1375,284.872,2.066,0,255,286.130,492.224,0.848,1,1.355,0.738,0.969
1376,269.448,0.199,0,255,337.507,491.403,0.904,1,1.139,0.878,0.981
1377,214.100,2.124,0,255,781.185,489.187,0.843,1,1.212,0.825,0.963
1378,212.526,0.252,0,255,46.988,492.475,0.819,1,1.345,0.743,0.963
1379,215.726,0.372,0,255,736.323,490.540,0.892,1,1.032,0.969,0.976
